OBJECTID,INSPECTOR,INSPECTIONDATE,RESTAREAID,RESTAREANAME,ROADNAME,CARRIAGEWAY,DECLAREDROADNAME,LOCALROADNAME,ROADNUMBER,DIRECTION,RMACLASS,SRNS,NEARESTINTERSECTION,DISTANCEFROMINT,DIRECTIONFROMINT,TDI,LOCALITY,MUNICIPALITY,VICROADSREGION,VCSDMAPREF,LATITUDE,LONGITUDE,RESTAREATYPE,RESTAREACATEGORY,SUITABLEASTIRA,SITELOCATION,ROADSPEEDLIMIT,BUFFERZONE,BUFFERWIDTH,SURFACETYPE,SURFACECONDITION,DELINEATEDPARKING,TOILETS,DISABLEDTOILETS,TOILETSEWERAGE,PICNICTABLES,BBQ,RUBBISHBINS,WATER,SHADESHELTERPICNIC,SHADESHELTERPARKING,SHADEEXTENT,SHADEDURATION,LIGHTING,TOURISTINFO,COMMERCIALACTIVITY,DRIVERREVIVER,CAMPING,FACILITIESCOMMENTS,NUMBERCARSPACES,NUMBERCARAVANSPACES,NUMBERTRUCKSPACES,NUMBERBDOUBLESPACES,NUMBERHPFVSPACES,TOTALPARKINGAREA,PARKINGCOMMENTS,CARAVANACCESS,TRUCKACCESS,BDOUBLEACCESS,HPFVACCESS,ODVEHICLEACCESS,APPROACHLINEOFSIGHT,EGRESSLINEOFSIGHT,OPPOSITEACCESS,OPPOSITEEGRESS,SIGNAGEMARKINGS,RESTAREASPEEDLIMIT,PEDESTRIANCONFLICT,ACCESSCOMMENTS,SITEAMENITY,FEATURESOFINTEREST,AMENITYCOMMENTS,GENERALCOMMENTS,UNIQUEID,CREATED_DATE,LAST_EDITED_DATE,GLOBALID
362252,,1.43433E+12,1000001,Point Cook Road Freeway Exit Service Centre,PRINCES HIGHWAY WEST,WESTBOUND,2500F 5453B,PRINCES OUT-CENTRAL RAMP OF,7159,F,FW,M1,CENTRAL AVENUE,218,NORTHWEST,10144.614,ALTONA MEADOWS,HOBSONS BAY,METRO NORTH WEST,436C12,-37.8692,144.76217,SERVICE CENTRE,NOT ASSESSED,NOT ASSESSED,STRAIGHT FLAT,100,SOUNDWALL,20m,CONCRETE,GOOD,GOOD,GOOD,GOOD,MAINS SEWER,NONE,NONE,EXCELLENT,EXCELLENT,COVERED WITH WALKWAY,COVERED WITH WALKWAY,SOME SHADE,ALL DAY,GOOD,NONE,FAST FOOD,NO,NO,Shell Service Station,20,0,0,,,160,20 4M X 2M Individual Car Spaces,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,NO,NO,POOR,NO SIGNS,NO SIGNS,No Comments,UNINVITING,None,No Comments,No Comments,1,1.46295E+12,1.4847E+12,4b2093f3-b3b9-405a-9c66-cead9b1fef65
362253,,1.43433E+12,1000002,Geelong Road Freeway Exit Service Centre,PRINCES HIGHWAY WEST,EASTBOUND,2500R 5445B,PRINCES HIGHWAY,7830,F,FW,M1,WERRIBEE MAIN ROAD,254,SOUTHWEST,10536.559,WERRIBEE,WYNDHAM,METRO NORTH WEST,78C8,-37.927681,144.630386,SERVICE CENTRE,NOT ASSESSED,NOT ASSESSED,BEND FLAT,100,VEGETATION,NOT ASSESSED,CONCRETE,EXCELLENT,EXCELLENT,GOOD,GOOD,MAINS SEWER,NONE,NONE,EXCELLENT,EXCELLENT,NO SHADE,NO SHADE,NO SHADE,NO SHADE,EXCELLENT,NONE,FAST FOOD,NO,NO,Caltex service Centre,47,4,17,,,4920,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,ADEQUATE,SAFE,SAFE,GOOD,40,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,2,1.46295E+12,1.4847E+12,98315e49-a140-410c-912f-3fcdb1d5969a
362254,,1.43433E+12,1000003,Little River Service Centre Geelong Bound,PRINCES HIGHWAY WEST,WESTBOUND,PRINCES FREEWAY WEST,PRINCES FREEWAY,2500,F,FW,M1,PRINCES OUT-BEACH RAMP OF,1823,NORTHEAST,48495.984,AVALON,GEELONG,SOUTH WESTERN,444J8,-38.002548,144.492355,SERVICE CENTRE,FREEWAY SERVICE CENTRE,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,CONCRETE,GOOD,EXCELLENT,GOOD,GOOD,MAINS SEWER,GOOD,GOOD,EXCELLENT,EXCELLENT,TREES,TREES,SOME SHADE,ALL DAY,GOOD,EXCELLENT,FAST FOOD,NO,NO,BP Service Station,86,5,15,,,32000,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,EXCELLENT,20,NO SIGNS,No Comments,PLEASANT,Historical Marker,No Comments,No Comments,3,1.46295E+12,1.4847E+12,0455f815-48d8-4169-a5b8-9e6f62332739
362255,,1.43433E+12,1000004,Little River Service Centre Melbourne Bound,PRINCES HIGHWAY WEST,EASTBOUND,PRINCES FREEWAY WEST,PRINCES FREEWAY,2500,R,FW,M1,BEACH-PRINCES IN RAMP ON,2126,NORTHEAST,397819.977,LITTLE RIVER,GEELONG,SOUTH WESTERN,444J8,-38.001476,144.492325,SERVICE CENTRE,FREEWAY SERVICE CENTRE,NOT ASSESSED,STRAIGHT FLAT,100,VEGETATION,20m,CONCRETE,GOOD,EXCELLENT,GOOD,GOOD,MAINS SEWER,GOOD,GOOD,EXCELLENT,EXCELLENT,TREES,TREES,SOME SHADE,ALL DAY,GOOD,NONE,FAST FOOD,NO,NO,No Comments,90,5,12,,,30000,No Comments,YES,YES,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,NO,NO,EXCELLENT,NO SIGNS,NO SIGNS,No Comments,PLEASANT,None,No Comments,No Comments,4,1.46295E+12,1.4847E+12,4570ec57-2b36-414e-970b-f2c079cba73f
362256,,1.43441E+12,1000005,Eastern View,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,NOEL ROAD,418,WEST,31330.552,MOGGS CREEK,SURF COAST,SOUTH WESTERN,93B9,-38.469948,144.058182,CARS ONLY,MINOR,NOT ASSESSED,STRAIGHT FLAT,80,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,NOT ASSESSED,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,15,0,0,,,495,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,SCENIC,Beach Access,No Comments,No Comments,5,1.46295E+12,1.4847E+12,47951fe5-6ed0-44fb-80a1-4b9f180aa211
362561,,1.43441E+12,1000006,Eastern View 2,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,VIEW ROAD,345,EAST,31503.679,MOGGS CREEK,SURF COAST,SOUTH WESTERN,93B9,-38.470211,144.056229,CARS ONLY,MINOR,NOT ASSESSED,STRAIGHT FLAT,80,VEGETATION,20m,CONCRETE,GOOD,NONE,NONE,NONE,NOT ASSESSED,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,7,0,0,,,240,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,EXCELLENT,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,SCENIC,Beach Access,No Comments,Emergency Marker 109w,6,1.46295E+12,1.4847E+12,da5b754d-6d6e-4467-b4c9-95415742d460
362562,,1.43441E+12,1000007,Eastern View 3,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,VIEW ROAD,95,EAST,31753.827,EASTERN VIEW,SURF COAST,SOUTH WESTERN,93B9,-38.470554,144.053421,CARS ONLY,MINOR,NOT ASSESSED,STRAIGHT FLAT,80,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,9,0,0,,,300,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,SCENIC,Beach Access,No Comments,No Comments,7,1.46295E+12,1.4847E+12,0813f094-4020-46fd-8c8b-19a5a869c166
362563,,1.43441E+12,1000008,Great Ocean Road Memorial Arch,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,GOLF LINKS ROAD,125,NORTHEAST,32495.854,EASTERN VIEW,SURF COAST,SOUTH WESTERN,93B9,-38.471828,144.04512,SCENIC LOOKOUT,MINOR,NOT ASSESSED,STRAIGHT FLAT,80,VEGETATION,20m,ASPHALT,GOOD,GOOD,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,GOOD,NONE,NO,NO,No Comments,17,0,0,,,450,1 Bus Space,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,GOOD,NO SIGNS,NO SIGNS,No Comments,SCENIC,Historical Marker,Beach Access,Emergency Marker 110w,8,1.46295E+12,1.4847E+12,aeaa6a15-c020-40f3-9dc7-8b155e983d0a
362564,,1.43441E+12,1000009,Sprout Creek,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,GOLF LINKS ROAD,695,SOUTHWEST,33316.794,EASTERN VIEW,SURF COAST,SOUTH WESTERN,93B9,-38.47517,144.036758,CARS ONLY,MINOR,NOT ASSESSED,BEND FLAT,80,NONE,NOT ASSESSED,ASPHALT,GOOD,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NOT ASSESSED,NONE,NONE,NONE,NO,NO,No Comments,9,0,0,,,210,No Comments,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,ADEQUATE,ADEQUATE,SAFE,SAFE,NONE,NO SIGNS,NO SIGNS,No Comments,SCENIC,Scenic Lookout,Beach Access,No Comments,9,1.46295E+12,1.4847E+12,89159be5-ec26-4710-830e-99a3a5e5697e
362565,,1.43441E+12,1000010,Sprout Creek 2,GREAT OCEAN ROAD,WESTBOUND,GREAT OCEAN ROAD,GREAT OCEAN ROAD,4890,F,AH,B100,GOLF LINKS ROAD,1037,SOUTHWEST,33658.741,EASTERN VIEW,SURF COAST,SOUTH WESTERN,93B9,-38.477299,144.034027,CARS ONLY,MINOR,NOT ASSESSED,STRAIGHT FLAT,80,VEGETATION,20m,ASPHALT,POOR,NONE,NONE,NONE,Not Assessed,NONE,NONE,GOOD,GOOD,NO SHADE,NO SHADE,NO SHADE,NO SHADE,NONE,NONE,NONE,NO,NO,No Comments,15,0,0,,,500,Beach Erosion Washing Car Park Away,NO,NO,NOT ASSESSED,NOT ASSESSED,NOT ASSESSED,EXCELLENT,EXCELLENT,SAFE,SAFE,POOR,NO SIGNS,NO SIGNS,No Comments,SCENIC,Beach Access,No Comments,Emergency Marker 111w,10,1.46295E+12,1.4847E+12,5b1284b4-34f1-44d2-9c13-95046fa40508
